法人等の種類,法人等の名称(ふりがな),法人等の名称,法人等の主たる事務所の所在地_郵便番号,法人等の主たる事務所の所在地_都道府県,法人等の主たる事務所の所在地_市区町村,法人等の主たる事務所の所在地_町名・番地,法人等の主たる事務所の所在地_建物名・部屋番号等,法人等の連絡先_電話番号,法人等の連絡先_その他連絡先,事業者番号,法人が教育・保育を提供し、又は提供しようとする施設等の所在地を管轄する都道府県の区域内に所在する当該法人が設置する教育・保育施設及び当該法人が行う地域型保育事業,施設類型,施設の名称(ふりがな),施設の名称,事業所番号,郵便番号,施設の所在地 都道府県,施設の所在地 市区町村,施設の所在地 町名・番地,施設の所在地 建物名・部屋番号等,施設の連絡先 電話番号,施設の連絡先 その他連絡先,事業の認可年月日,事業の開始年月日,事業の確認年月日,連携施設(01)_連携先施設名,連携施設(01)_連携内容,連携施設(02)_連携先施設名,連携施設(02)_連携内容,連携施設(03)_連携先施設名,連携施設(03)_連携内容,連携施設(04)_連携先施設名,連携施設(04)_連携内容,連携施設(05)_連携先施設名,連携施設(05)_連携内容,連携施設(06)_連携先施設名,連携施設(06)_連携内容,連携施設(07)_連携先施設名,連携施設(07)_連携内容,連携施設(08)_連携先施設名,連携施設(08)_連携内容,連携施設(09)_連携先施設名,連携施設(09)_連携内容,連携施設(10)_連携先施設名,連携施設(10)_連携内容,連携施設(11)_連携先施設名,連携施設(11)_連携内容,連携施設(12)_連携先施設名,連携施設(12)_連携内容,連携施設(13)_連携先施設名,連携施設(13)_連携内容,連携施設(14)_連携先施設名,連携施設(14)_連携内容,連携施設(15)_連携先施設名,連携施設(15)_連携内容,連携施設(16)_連携先施設名,連携施設(16)_連携内容,連携施設(17)_連携先施設名,連携施設(17)_連携内容,連携施設(18)_連携先施設名,連携施設(18)_連携内容,連携施設(19)_連携先施設名,連携施設(19)_連携内容,連携施設(20)_連携先施設名,連携施設(20)_連携内容,連携施設(21)_連携先施設名,連携施設(21)_連携内容,連携施設(22)_連携先施設名,連携施設(22)_連携内容,連携施設(23)_連携先施設名,連携施設(23)_連携内容,連携施設(24)_連携先施設名,連携施設(24)_連携内容,連携施設(25)_連携先施設名,連携施設(25)_連携内容,連携施設(26)_連携先施設名,連携施設(26)_連携内容,連携施設(27)_連携先施設名,連携施設(27)_連携内容,連携施設(28)_連携先施設名,連携施設(28)_連携内容,連携施設(29)_連携先施設名,連携施設(29)_連携内容,連携施設(30)_連携先施設名,連携施設(30)_連携内容,連携施設(31)_連携先施設名,連携施設(31)_連携内容,連携施設(32)_連携先施設名,連携施設(32)_連携内容,連携施設(33)_連携先施設名,連携施設(33)_連携内容,連携施設(34)_連携先施設名,連携施設(34)_連携内容,連携施設(35)_連携先施設名,連携施設(35)_連携内容,連携施設(36)_連携先施設名,連携施設(36)_連携内容,連携施設(37)_連携先施設名,連携施設(37)_連携内容,連携施設(38)_連携先施設名,連携施設(38)_連携内容,連携施設(39)_連携先施設名,連携施設(39)_連携内容,連携施設(40)_連携先施設名,連携施設(40)_連携内容,連携施設(41)_連携先施設名,連携施設(41)_連携内容,連携施設(42)_連携先施設名,連携施設(42)_連携内容,連携施設(43)_連携先施設名,連携施設(43)_連携内容,連携施設(44)_連携先施設名,連携施設(44)_連携内容,連携施設(45)_連携先施設名,連携施設(45)_連携内容,連携施設(46)_連携先施設名,連携施設(46)_連携内容,連携施設(47)_連携先施設名,連携施設(47)_連携内容,連携施設(48)_連携先施設名,連携施設(48)_連携内容,連携施設(49)_連携先施設名,連携施設(49)_連携内容,連携施設(50)_連携先施設名,連携施設(50)_連携内容,連携施設(51)_連携先施設名,連携施設(51)_連携内容,連携施設(52)_連携先施設名,連携施設(52)_連携内容,連携施設(53)_連携先施設名,連携施設(53)_連携内容,連携施設(54)_連携先施設名,連携施設(54)_連携内容,連携施設(55)_連携先施設名,連携施設(55)_連携内容,連携施設(56)_連携先施設名,連携施設(56)_連携内容,連携施設(57)_連携先施設名,連携施設(57)_連携内容,連携施設(58)_連携先施設名,連携施設(58)_連携内容,連携施設(59)_連携先施設名,連携施設(59)_連携内容,連携施設(60)_連携先施設名,連携施設(60)_連携内容,連携施設(61)_連携先施設名,連携施設(61)_連携内容,連携施設(62)_連携先施設名,連携施設(62)_連携内容,連携施設(63)_連携先施設名,連携施設(63)_連携内容,連携施設(64)_連携先施設名,連携施設(64)_連携内容,連携施設(65)_連携先施設名,連携施設(65)_連携内容,連携施設(66)_連携先施設名,連携施設(66)_連携内容,連携施設(67)_連携先施設名,連携施設(67)_連携内容,連携施設(68)_連携先施設名,連携施設(68)_連携内容,連携施設(69)_連携先施設名,連携施設(69)_連携内容,連携施設(70)_連携先施設名,連携施設(70)_連携内容,連携施設(71)_連携先施設名,連携施設(71)_連携内容,連携施設(72)_連携先施設名,連携施設(72)_連携内容,連携施設(73)_連携先施設名,連携施設(73)_連携内容,連携施設(74)_連携先施設名,連携施設(74)_連携内容,連携施設(75)_連携先施設名,連携施設(75)_連携内容,連携施設(76)_連携先施設名,連携施設(76)_連携内容,連携施設(77)_連携先施設名,連携施設(77)_連携内容,連携施設(78)_連携先施設名,連携施設(78)_連携内容,連携施設(79)_連携先施設名,連携施設(79)_連携内容,連携施設(80)_連携先施設名,連携施設(80)_連携内容,連携施設(81)_連携先施設名,連携施設(81)_連携内容,連携施設(82)_連携先施設名,連携施設(82)_連携内容,連携施設(83)_連携先施設名,連携施設(83)_連携内容,連携施設(84)_連携先施設名,連携施設(84)_連携内容,連携施設(85)_連携先施設名,連携施設(85)_連携内容,連携施設(86)_連携先施設名,連携施設(86)_連携内容,連携施設(87)_連携先施設名,連携施設(87)_連携内容,連携施設(88)_連携先施設名,連携施設(88)_連携内容,連携施設(89)_連携先施設名,連携施設(89)_連携内容,連携施設(90)_連携先施設名,連携施設(90)_連携内容,連携施設(91)_連携先施設名,連携施設(91)_連携内容,連携施設(92)_連携先施設名,連携施設(92)_連携内容,連携施設(93)_連携先施設名,連携施設(93)_連携内容,連携施設(94)_連携先施設名,連携施設(94)_連携内容,連携施設(95)_連携先施設名,連携施設(95)_連携内容,連携施設(96)_連携先施設名,連携施設(96)_連携内容,連携施設(97)_連携先施設名,連携施設(97)_連携内容,連携施設(98)_連携先施設名,連携施設(98)_連携内容,連携施設(99)_連携先施設名,連携施設(99)_連携内容,保育教諭_従業者数_常勤,保育教諭_従業者数_非常勤,保育教諭_労働時間,保育教諭_平均経験年数_常勤,保育教諭_平均経験年数_非常勤,教諭又は保育士_従業者数_常勤,教諭又は保育士_従業者数_非常勤,教諭又は保育士_労働時間,教諭又は保育士_平均経験年数_常勤,教諭又は保育士_平均経験年数_非常勤,保育士_従業者数_常勤,保育士_従業者数_非常勤,保育士_労働時間,保育士_平均経験年数_常勤,保育士_平均経験年数_非常勤,保育従事者_従業者数_常勤,保育従事者_従業者数_非常勤,保育従事者_労働時間,保育従事者_平均経験年数_常勤,保育従事者_平均経験年数_非常勤,教諭_従業者数_常勤,教諭_従業者数_非常勤,教諭_労働時間,教諭_平均経験年数_常勤,教諭_平均経験年数_非常勤,家庭的保育者 又は家庭的保育補助者_従業者数_常勤,家庭的保育者 又は家庭的保育補助者_従業者数_非常勤,家庭的保育者 又は家庭的保育補助者_労働時間,家庭的保育者 又は家庭的保育補助者_平均経験年数_常勤,家庭的保育者 又は家庭的保育補助者_平均経験年数_非常勤,合計_従業者数_常勤,合計_従業者数_非常勤,職員一人当たりの子どもの数,有する免許・資格,有する免許・資格_その他,開所日_開所曜日,開所日_平日開所時間,開所日_平日閉所時間,開所日_土曜日開所時間,開所日_土曜日閉所時間,開所日_日祝日開所時間,開所日_日祝日閉所時間,開所時間2号3号_標準時間平日開始時刻,開所時間2号3号_標準時間平日終了時刻,開所時間2号3号_標準時間土曜開始時刻,開所時間2号3号_標準時間土曜終了時刻,開所時間2号3号_短時間平日開始時刻,開所時間2号3号_短時間平日終了時刻,開所時間2号3号_短時間土曜開始時刻,開所時間2号3号_短時間土曜終了時刻,預かり保育時間_平日開所,預かり保育時間_平日閉所,預かり保育時間_土曜日開所,預かり保育時間_土曜日閉所,預かり保育時間_日祝日開所,預かり保育時間_日祝日閉所,0歳_利用定員数,0歳_利用者数,0歳_学級数,1歳_利用定員数,1歳_利用者数,1歳_学級数,2歳_利用定員数,2歳_利用者数,2歳_学級数,3歳_利用定員数,3歳_利用者数,3歳_学級数,4歳_利用定員数,4歳_利用者数,4歳_学級数,5歳_利用定員数,5歳_利用者数,5歳_学級数,合計_利用定員数,合計_利用者数,合計_学級数,受入開始年齢コード（名称）,運営方法,教育・保育の内容等,給食の実施状況_実施状況,給食の実施状況_提供日,障害児の受け入れ体制,一時預かり事業の実施,病児保育事業の実施,利用手続き,選考基準,その他の利用,苦情に対する窓口状況,賠償すべき事故への対応,提供内容の特色,利用料_実費徴収_実費徴収の有無,利用料_実費徴収_理由,利用料_実費徴収_金額,利用料_上乗せ徴収_上乗せ徴収の有無,利用料_上乗せ徴収_理由,利用料_上乗せ徴収_金額,提供開始時の説明,利用者の同意,利用者負担の利用料に関する説明,相談、苦情等の対応のための取組,事故発生の防止及び発生時の対応,個人情報等の取組状況,第三者評価等の実施・結果の公表状況,第三者評価等の結果
営利法人（株式会社等）,こどものもり,株式会社こどもの森,1850034,東京都,国分寺市,光町２－５－１,,042-571-4536,,1321408000015 ,あり,保育所,つなしまこどもえん,綱島こども園,1410051024842 ,2230052,神奈川県,横浜市港北区,綱島西６－２３－５６,,045-547-6655,,2018/3/31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"月曜日,火曜日,水曜日,木曜日,金曜日,土曜日",7:00,20:00,7:00,18:00,,,7:30,18:30,7:00,18:00,8:30,16:30,8:30,16:30,,,,,,,6,,,10,,,11,,,11,,,11,,,11,,,60,,,,・明るく、元気で丈夫な子　・あいさつのできる子　・愛と思いやりのある子　・感謝の心を持てる子,当園の利用者数は、横浜市HPにて公表しています。,給食のみ実施,"月曜日,火曜日,水曜日,木曜日,金曜日,土曜日",あり,あり,なし,,,,苦情・要望等に関して園長を苦情解決責任者として「苦情解決に関する規程」に則り適切に対応する他、本部事務局（電話）において相談窓口を置き対応します。本部事務局相談連絡先（042-571-4536）,保育中に発生した事故に対して対人1事故10億円・1人1億5千万円・対物1千万円の賠償責任保険に加入,4月　入園式5月　健康診断、親子遠足6月　歯科検診、プール開き7月　七夕、夕涼み会8月　お泊り保育（5歳児）9月　敬老の日10月　運動会、小遠足11月　健康診断12月　クリスマス会1月　鏡開き、カルタ取り大会2月　豆まき、生活発表会3月　ひなまつり、お別れ会、卒園遠足（5歳児）、卒園式※　毎月　お誕生日会、避難訓練、身体測定,あり,有無を含め直接園にお問い合わせください。,,なし,,,あり,あり,あり,"相談、苦情受付窓口の設置,相談、苦情内容の記録","事故発生時の対応及び事故発生防止のための指針の整備,事故発生時の報告及び改善策を周知徹底する体制の整備,事故発生防止のための定期的な研修の実施","秘密保持に係る規程の整備,秘密保持に係る研修の実施",未実施,
社会福祉法人,いずみなえばのかい,社会福祉法人いずみ苗場の会,2450002,神奈川県,横浜市泉区,緑園４－４,,045-810-6131,045-443-9620,1410001003284 ,あり,保育所,またのほいくえん,俣野保育園,1410051027019 ,2450066,神奈川県,横浜市戸塚区,俣野町１４０３－１９,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7:30,18:30,7:30,18:30,8:30,16:30,8:30,16:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
営利法人（株式会社等）,かぶしきがいしゃあいえすしー,株式会社アイ・エス・シー,1540002,東京都,世田谷区,下馬２－６－８,,,,131120800050 ,なし,保育所,うぃずぶっくほいくえんあおきちょう,ウィズブック保育園青木町,1410051026599 ,2210057,神奈川県,横浜市神奈川区,,,,,2021/3/31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"月曜日,火曜日,水曜日,木曜日,金曜日,土曜日",7:30,20:30,7:30,20:30,,,7:30,18:30,7:30,18:30,8:30,16:30,8:30,16:30,,,,,,,6,,,8,,,10,,,12,,,12,,,12,,,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
営利法人（株式会社等）,かぶしきかいしゃぶれすといんたーなしょなる,株式会社ブレストインターナショナル,2300004,神奈川県,横浜市鶴見区,元宮一丁目９番４４号,,,,1410008001471 ,,保育所,ぶれすとつなしまにかいほいくえん,ぶれすと綱島二階ほいくえん,1410051026680 ,2220001,神奈川県,横浜市港北区,樽町二丁目３番１号,２階,,,2021/3/31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"月曜日,火曜日,水曜日,木曜日,金曜日,土曜日",7:00,19:00,7:00,19:00,,,7:00,18:00,7:00,18:00,8:30,16:30,8:30,16:30,,,,,,,3,,,5,,,5,,,12,,,12,,,13,,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
営利法人（株式会社等）,ぽぴんず,株式会社ポピンズ,1500012,東京都,渋谷区,広尾５－６－６,　広尾プラザ５Ｆ,03-3447-2100,03-3447-1812,1311308000017 ,なし,保育所,ぽぴんずなーさりーすくーるたまぷらーざ,ポピンズナーサリースクールたまプラーザ,1410051027076 ,2250002,神奈川県,横浜市青葉区,美しが丘５－２－３４,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7:30,18:30,7:00,18:00,8:30,16:30,8:30,16:30,,,,,,,6,,,15,,,15,,,16,,,12,,,12,,,76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
営利法人（株式会社等）,ひゅーまんすたーちゃいるど,ヒューマンスターチャイルド株式会社,2210835,神奈川県,横浜市神奈川区,鶴屋町３－２９－１,第６安田ビル５階,045-276-3244,,1410008000861 ,なし,保育所,すたーちゃいるど　わだまちなーさりー,スターチャイルド≪和田町ナーサリー≫,1410051026672 ,2400044,神奈川県,横浜市保土ケ谷区,,,,,2021/3/31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"月曜日,火曜日,水曜日,木曜日,金曜日,土曜日",7:00,20:00,7:00,18:00,,,7:30,18:30,7:00,18:00,8:30,16:30,8:30,16:30,,,,,,,6,,,8,,,10,,,12,,,12,,,12,,,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NPO 法人,さくらんぼ,特定非営利活動法人さくらんぼ,2460022,神奈川県,横浜市瀬谷区,三ツ境１０－６コスモビル４Ｆ,,045-367-7224,,1410004001079 ,あり,保育所,ほいくしつねすと,保育室「ネスト」,1410051026797 ,2460022,神奈川県,横浜市瀬谷区,三ツ境１７番地１,,,,2021/4/1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"月曜日,火曜日,水曜日,木曜日,金曜日,土曜日",7:30,20:00,7:30,18:30,,,7:30,18:30,7:30,18:30,8:30,16:30,8:30,16:30,,,,,,,6,,,7,,,7,,,10,,,10,,,10,,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
営利法人（株式会社等）,かぶしきかいしゃぶれすといんたーなしょなる,株式会社ブレストインターナショナル,2300004,神奈川県,横浜市鶴見区,元宮一丁目９番４４号,,,,1410008001471 ,,保育所,ぶれすとしんよこはまほいくえん,ぶれすと新横浜ほいくえん,1410051026631 ,2220034,神奈川県,横浜市港北区,,,,,2021/3/31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"月曜日,火曜日,水曜日,木曜日,金曜日,土曜日",7:00,19:00,7:00,19:00,,,7:00,18:00,7:00,18:00,8:30,16:30,8:30,16:30,,,,,,,3,,,8,,,10,,,13,,,13,,,13,,,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
社会福祉法人,くおんえん,社会福祉法人久遠園,2260002,神奈川県,横浜市緑区,東本郷４－２５－１４,,045-472-1131,045-472-1131,1410001002963 ,なし,保育所,よこはまちがさきほいくえん,横浜茅ケ崎保育園,1410051027001 ,2240037,神奈川県,横浜市都筑区,茅ケ崎南１丁目１２－１,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7:30,18:30,7:30,18:30,8:30,16:30,8:30,16:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
営利法人（株式会社等）,にちいがっかん,株式会社ニチイ学館,1018688,東京都,千代田区,神田駿河台２丁目９番地,,03-3291-2121,045-319-5171,1310108000037 ,なし,保育所,にちいきっずさくらほんごうだいほいくえん,ニチイキッズさくら本郷台保育園,1410051026698 ,2470007,神奈川県,横浜市栄区,,,,,2021/3/31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"月曜日,火曜日,水曜日,木曜日,金曜日,土曜日",7:00,20:00,7:00,18:30,,,7:30,18:30,7:30,18:30,8:30,16:30,7:30,15:30,,,,,,,3,,,12,,,12,,,14,,,14,,,14,,,69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
