事業所番号,住所,緯度、経度,
1410051024842,神奈川県横浜市港北区綱島西６－２３－５６,35.5423607,139.6395105
1410051027019,神奈川県横浜市戸塚区俣野町１４０３－１９,35.3887803,139.4893757
1410051026599,神奈川県横浜市神奈川区,35.4827827,139.6146102
1410051026680,神奈川県横浜市港北区樽町二丁目３番１号,35.530339,139.6385741
1410051027076,神奈川県横浜市青葉区美しが丘５－２－３４,35.5740587,139.5542119
1410051026672,神奈川県横浜市保土ケ谷区,35.4546455,139.5789316
1410051026797,神奈川県横浜市瀬谷区三ツ境１７番地１,35.4671782,139.5026893
1410051026631,神奈川県横浜市港北区,35.526181,139.619709
1410051027001,神奈川県横浜市都筑区茅ケ崎南１丁目１２－１,35.54072,139.5793918
1410051026698,神奈川県横浜市栄区,35.4436739,139.6379639
1410051026714,神奈川県横浜市鶴見区,35.4956281,139.6809281
1410051026763,神奈川県横浜市神奈川区,35.4827827,139.6146102
1410051026623,神奈川県横浜市港北区,35.526181,139.619709
1410051027043,神奈川県横浜市港北区日吉五丁目２９番１８号,35.5507364,139.6560574
1410051026995,神奈川県横浜市青葉区荏田北３丁目６－１４,35.5604572,139.5487342
1410051026607,神奈川県横浜市神奈川区,35.4827827,139.6146102
1410051026730,神奈川県横浜市港北区箕輪町３丁目494番１,35.5472095,139.6420211
1410051013902,神奈川県横浜市西区岡野２－６－６,35.459514,139.612116
1410051026615,神奈川県横浜市鶴見区鶴見中央三丁目３番14号,35.510011,139.6820446
1410051026987,神奈川県横浜市磯子区滝頭１－２－１７,35.4231067,139.6170996
1410051026771,神奈川県横浜市鶴見区鶴見中央五丁目１１番８号,35.5037792,139.6779474
1410051026748,神奈川県横浜市戸塚区,35.4014751,139.5381824
1410051026706,神奈川県横浜市鶴見区寺谷二丁目331番１,35.5136849,139.6700826
1410051026292,神奈川県横浜市旭区鶴ヶ峰二丁目６番地12,35.4768315,139.5465281
1410051026649,神奈川県横浜市旭区二俣川１丁目７番地２３,35.462516,139.5304655
1410051027035,神奈川県横浜市神奈川区東神奈川１－１２,35.4778004,139.6342884
1410051026722,神奈川県横浜市神奈川区,35.4827827,139.6146102
1410051026656,神奈川県横浜市中区,35.4322553,139.6605146
1410051026789,神奈川県横浜市港北区大豆戸町６３９番地２,35.5126327,139.6226967
1410051027068,神奈川県横浜市緑区十日市場８７２－１９,35.5267893,139.5161962
1410051027050,神奈川県横浜市瀬谷区二ツ橋３０９番地１,35.4669748,139.4956086
1410051027027,神奈川県横浜市金沢区柳町１－３,35.3281012,139.6247619
1410051017754,神奈川県横浜市泉区上飯田町,35.4307071,139.4796552
1410051026664,神奈川県横浜市鶴見区,35.4956281,139.6809281
1410051014108,神奈川県横浜市保土ケ谷区新桜ケ丘２－４１－９,35.4548419,139.5636286
1410051025393,神奈川県横浜市西区高島２－２－７,35.4603449,139.6229315
1410051023869,神奈川県横浜市青葉区藤が丘２－２０－１０,35.5425523,139.5220911
1410051018257,神奈川県横浜市港北区新横浜３－２４－１４,35.5140419,139.6203613
1410051015428,神奈川県横浜市旭区万騎が原３,35.4568622,139.5366357
1410051026037,神奈川県横浜市港北区大倉山３－５８－１３,35.5228565,139.6246488
1410051015832,神奈川県横浜市青葉区市ケ尾町１１５３－３,35.5511146,139.5399814
1410051024370,神奈川県横浜市旭区鶴ケ峰２－４８－７,35.4753159,139.5527637
1410051016046,神奈川県横浜市戸塚区戸塚町２８３３－３,35.3879619,139.5268082
1410051019610,神奈川県横浜市磯子区新杉田町８－８,35.384209,139.6221166
1410051015048,神奈川県横浜市青葉区美しが丘１－１－２,35.5810677,139.5564444
1410051015840,神奈川県横浜市青葉区美しが丘２－１２－１,35.5812523,139.560198
1410051014785,神奈川県横浜市南区睦町１－３０,35.4304677,139.6172801
1410051019768,神奈川県横浜市都筑区東山田町３２２,35.5530515,139.6045933
1410051015717,神奈川県横浜市港北区篠原北２－４－７,35.5099449,139.6295591
1410051024461,神奈川県横浜市鶴見区岸谷１－２６－１２,35.4970408,139.6659022
1410051017408,神奈川県横浜市青葉区新石川１－１３－１,35.568479,139.555559
1410051018307,神奈川県横浜市緑区長津田５－１－２５,35.5314636,139.4939834
1410051018208,神奈川県横浜市金沢区寺前１－８－２８,35.339313,139.6259251
1410051016319,神奈川県横浜市神奈川区西寺尾３－２２－１,35.4974666,139.6513376
1410051017424,神奈川県横浜市青葉区つつじが丘２９－１８,35.5357049,139.5177986
1410051024529,神奈川県横浜市青葉区新石川３－５－２,35.5774026,139.562222
1410051024255,神奈川県横浜市港北区綱島東３－２－１５,35.5387454,139.6413635
1410051014603,神奈川県横浜市瀬谷区二ツ橋町４６９,35.4723093,139.4961375
1410051025716,神奈川県横浜市保土ケ谷区星川３－５－１９,35.4629675,139.5890535
1410051026052,神奈川県横浜市青葉区あざみ野２－３５－１２,35.5670983,139.5463379
1410051020337,神奈川県横浜市栄区公田町７４０,35.3601005,139.5588519
1410051017614,神奈川県横浜市戸塚区戸塚町４８２２－１２,35.4006853,139.5281338
1410051013738,神奈川県横浜市鶴見区鶴見中央１－７－５,35.5090289,139.6775386
1410051019404,神奈川県横浜市瀬谷区相沢７－２３－１,35.4757955,139.4893412
1410051024313,神奈川県横浜市鶴見区矢向４－２６－１３,35.5333063,139.6835481
1410051025534,神奈川県横浜市都筑区中川中央２－３－２５,35.548655,139.5766227
1410051018075,神奈川県横浜市港南区丸山台２－４１－６７,35.3973489,139.5712065
1410051016939,神奈川県横浜市磯子区杉田４－６－３１,35.3823318,139.6199041
1410051020428,神奈川県横浜市栄区小山台１－３３－１０,35.3791839,139.5548787
1410051019073,神奈川県横浜市緑区竹山３－１－１５,35.4957717,139.5617874
1410051016723,神奈川県横浜市保土ケ谷区新井町３５６－３,35.4919378,139.5525178
1410051015865,神奈川県横浜市都筑区大丸９－１６,35.5370101,139.5575745
1410051025500,神奈川県横浜市港北区綱島東４－６－３３,35.5417421,139.6437745
1410051026474,神奈川県横浜市金沢区釜利谷東２－１６－１０,35.3429157,139.6194102
1410051014470,神奈川県横浜市青葉区青葉台１－１８－１３,35.546825,139.5186947
1410051020402,神奈川県横浜市旭区鶴ケ峰２－１７－２６,35.4763961,139.547074
1410051016665,神奈川県横浜市港南区日野南３－１３－１,35.3763326,139.572704
1410051024586,神奈川県横浜市港北区小机町２１９０,35.5094494,139.6008177
1410051026128,神奈川県横浜市都筑区北山田２－２－２９,35.5600177,139.5912534
1410051017192,神奈川県横浜市港北区日吉２－１０－４,35.5561048,139.6450323
1410051018802,神奈川県横浜市神奈川区菅田町４８８,35.4973786,139.5744844
1410051017846,神奈川県横浜市瀬谷区阿久和東３－４５－２,35.4504472,139.5082554
1410051018372,神奈川県横浜市都筑区葛が谷１５－３,35.5356988,139.5633784
