【令和４年４月１日時点】　受入可能数,,,,,,,,,,,,
施設所在区,標準地域コード,施設・事業名,施設番号,０歳児,１歳児,２歳児,３歳児,４歳児,５歳児,合計,更新日,
鶴見区,14101,横浜市馬場保育園,1410051018778,-,0,0,0,1,4,5,2022-04-01,
鶴見区,14101,横浜市鶴見保育園,1410051020006,5,0,0,0,5,3,13,2022-04-01,
鶴見区,14101,横浜市芦穂崎保育園,1410051018760,1,0,0,1,7,2,11,2022-04-01,
鶴見区,14101,横浜市潮田保育園,1410051019990,0,0,0,0,0,0,0,2022-04-01,
鶴見区,14101,北寺尾第二むつみ保育園,1410051019461,0,0,0,1,0,1,2,2022-04-01,
鶴見区,14101,北寺尾むつみ保育園,1410051017879,0,0,0,0,0,0,0,2022-04-01,
鶴見区,14101,ねむの樹　北寺尾保育園,1410051013787,0,0,0,0,1,1,2,2022-04-01,
鶴見区,14101,馬場どろんこ保育園,1410051025542,0,0,0,0,0,2,2,2022-04-01,
鶴見区,14101,ベネッセ菊名保育園,1410051025898,0,0,0,0,2,2,4,2022-04-01,
鶴見区,14101,きくなハート保育園,1410051025872,0,0,0,0,0,0,0,2022-04-01,
鶴見区,14101,駒岡げんきっず保育園,1410051024909,0,0,0,2,0,5,7,2022-04-01,
鶴見区,14101,にじの風保育園,1410051013779,0,0,1,1,0,0,2,2022-04-01,
鶴見区,14101,ＳＡＮＤＡ ＫＩＤ保育園,1410051025864,2,0,0,0,0,0,2,2022-04-01,
鶴見区,14101,にじいろ保育園駒岡四丁目,1410051027100,-,0,4,8,4,7,23,2022-04-01,
鶴見区,14101,駒岡保育園,1410051013688,1,0,3,0,0,1,5,2022-04-01,
鶴見区,14101,明日葉保育園駒岡園,1410051026482,1,0,0,0,0,0,1,2022-04-01,
鶴見区,14101,にじいろ保育園駒岡,1410051026714,-,0,1,4,0,11,16,2022-04-01,
鶴見区,14101,駒岡こども園,1410051018539,2,0,0,0,0,0,2,2022-04-01,
